ID,Listing Confirmation Method,Deposit Amount,Monthly Rent,Exclusive Area,Unit Floor,Total Floors,Direction,Number of Rooms,Number of Bathrooms,Parking Availability,Total Parking Spaces,Maintenance Fee,Real Estate Agency,Brokerage Platform,Listing Year,Listing Month,Listing Day,Listing Weekday,Days Since Listed,False Listing
TRAIN_0041,On-site Confirmation,324000000,660000,20.26,11,14,East,1,1,Available,21,2,G52Iz8V2B9,Platform A,2024,12,24,Tuesday,200,Real Listing
TRAIN_0042,서류확인,127000000,460000,36.54,2,3,South,2,1,Not Available,,0,S14na8Q8K2,Platform A,2024,12,21,Saturday,203,Real Listing
TRAIN_0043,Phone Confirmation,348500000,600000,,5,5,East,2,2,Available,7,3,S69fV9Z3J7,Platform C,2024,8,3,Saturday,343,Real Listing
TRAIN_0044,On-site Confirmation,20000000,170000,26.19,4,5,North,1,1,Not Available,,3,W88DA3W2Q3,Platform D,2024,11,25,Monday,229,Real Listing
TRAIN_0045,On-site Confirmation,86500000,40000,38.1,5,9,West,1,1,Available,20,10,G52Iz8V2B9,Platform A,2024,6,5,Wednesday,402,Real Listing
TRAIN_0046,On-site Confirmation,20500000,500000,17.5,5,11,North,1,1,Available,,14,C41wx1K6U9,Platform B,2024,12,22,Sunday,202,Real Listing
TRAIN_0047,On-site Confirmation,76000000,700000,,3,5,West,1,1,Not Available,,6,m69GM9O9B3,Platform B,2023,12,19,Tuesday,571,Fake Listing
TRAIN_0048,On-site Confirmation,156000000,550000,26.25,3,7,Southeast,1,1,Available,5,0,S12iP7V0Q9,Platform A,2024,2,16,Friday,512,Fake Listing
TRAIN_0049,Phone Confirmation,6500000,290000,40.89,6,6,East,1,1,Available,11,5,r16Dr6Z7C3,G플랫폼,2024,12,8,Sunday,216,Real Listing
TRAIN_0050,On-site Confirmation,178500000,240000,22.55,2,3,East,1,1,Available,1,0,E29LO2X8S7,Platform E,2024,7,24,Wednesday,353,Real Listing
TRAIN_0051,Phone Confirmation,131000000,110000,18.59,4,7,North,1,1,Available,2,0,J07Zn4B0R7,Platform C,2024,12,31,Tuesday,193,Real Listing
TRAIN_0052,On-site Confirmation,113500000,490000,,2,3,South,1,1,Not Available,,0,r16Dr6Z7C3,G플랫폼,2024,10,5,Saturday,280,Real Listing
TRAIN_0053,On-site Confirmation,106000000,60000,20.89,18,18,북동향,1,1,Available,1,14,G52Iz8V2B9,Platform C,2024,3,10,Sunday,489,Real Listing
TRAIN_0054,On-site Confirmation,153500000,130000,26.66,7,8,Southeast,2,2,Not Available,3,7,G52Iz8V2B9,Platform A,2023,9,17,Sunday,664,Real Listing
TRAIN_0055,Phone Confirmation,172000000,580000,27.16,2,5,North,1,1,Not Available,31,4,G52Iz8V2B9,Platform A,2025,3,2,Sunday,132,Real Listing
TRAIN_0056,On-site Confirmation,321500000,440000,,4,5,West,1,1,Not Available,4,2,b90Kl2S4L3,F플랫폼,2024,4,14,Sunday,454,Real Listing
TRAIN_0057,On-site Confirmation,123500000,640000,,6,6,North,1,1,Not Available,,2,t44kB9X5Y9,Platform C,2025,1,24,Friday,169,Real Listing
TRAIN_0058,서류확인,88000000,150000,24.69,11,14,East,1,1,Available,21,0,G52Iz8V2B9,Platform A,2025,2,2,Sunday,160,Real Listing
TRAIN_0059,On-site Confirmation,160500000,590000,17.5,2,3,East,2,1,Not Available,44,0,G52Iz8V2B9,Platform B,2024,4,14,Sunday,454,Real Listing
TRAIN_0060,On-site Confirmation,77500000,60000,,2,5,East,1,1,Available,,13,w37Qk3B9D2,Platform B,2024,9,30,Monday,285,Real Listing
TRAIN_0061,On-site Confirmation,82500000,470000,17.5,,11,북서향,1,1,Available,21,5,O55VW6U4R7,Platform A,2024,10,11,Friday,274,Real Listing
TRAIN_0062,On-site Confirmation,405000000,310000,37.98,4,18,East,1,1,Not Available,38,0,G52Iz8V2B9,Platform B,2024,4,23,Tuesday,445,Real Listing
TRAIN_0063,On-site Confirmation,108000000,480000,32.84,3,10,북동향,2,1,Available,30,0,G52Iz8V2B9,Platform A,2024,7,3,Wednesday,374,Real Listing
TRAIN_0064,On-site Confirmation,177500000,260000,31.32,4,5,북동향,1,1,Available,1,0,G52Iz8V2B9,Platform B,2023,12,3,Sunday,587,Real Listing
TRAIN_0065,On-site Confirmation,186500000,740000,28.67,4,7,East,1,1,Not Available,1,0,G52Iz8V2B9,Platform C,2024,3,29,Friday,470,Real Listing
TRAIN_0066,서류확인,321500000,230000,26.44,2,3,South,2,1,Not Available,,2,D49QC8I7L2,Platform A,2024,11,11,Monday,243,Real Listing
TRAIN_0067,On-site Confirmation,10500000,210000,17.5,3,10,South,1,1,Available,4,17,k87TR0Q8N4,Platform A,2024,11,4,Monday,250,Real Listing
TRAIN_0068,서류확인,111000000,330000,,,7,East,2,1,Available,1,6,o61te4S1W1,J플랫폼,2024,11,22,Friday,232,Real Listing
TRAIN_0069,On-site Confirmation,195000000,590000,,2,3,남서향,2,1,Not Available,,0,K38kY2R6G0,Platform B,2024,10,25,Friday,260,Real Listing
TRAIN_0070,On-site Confirmation,147000000,300000,19.8,3,4,북동향,1,1,Available,2,8,Z81Jv8Z5G2,H플랫폼,2024,12,10,Tuesday,214,Real Listing
TRAIN_0071,서류확인,25000000,170000,36.36,3,6,East,2,1,Available,4,7,m44pw5A9I1,Platform A,2024,10,15,Tuesday,270,Real Listing
TRAIN_0072,On-site Confirmation,105000000,290000,,,8,West,2,1,Not Available,5,2,u04Gp5J3R0,Platform A,2024,3,12,Tuesday,487,Real Listing
TRAIN_0073,On-site Confirmation,5000000,550000,25.43,6,7,South,1,1,Available,18,0,G52Iz8V2B9,Platform A,2024,3,23,Saturday,476,Real Listing
TRAIN_0074,서류확인,193000000,510000,30.68,6,10,South,1,1,Available,12,4,G52Iz8V2B9,Platform A,2024,4,25,Thursday,443,Real Listing
TRAIN_0075,On-site Confirmation,78000000,570000,19.09,3,3,South,1,1,Not Available,13,5,G52Iz8V2B9,Platform A,2024,6,24,Monday,383,Real Listing
TRAIN_0076,Phone Confirmation,81000000,70000,,,,South,,,Not Available,,0,K48zc2G4K8,Platform D,2025,1,4,Saturday,189,Real Listing
TRAIN_0077,On-site Confirmation,396000000,550000,,2,6,East,1,1,Not Available,,8,w37Qk3B9D2,Platform B,2024,11,27,Wednesday,227,Real Listing
TRAIN_0078,On-site Confirmation,70000000,530000,17.5,,9,남서향,1,1,Not Available,8,7,f41Wq8P7T9,Platform A,2025,1,3,Friday,190,Real Listing
TRAIN_0079,On-site Confirmation,116000000,410000,17.5,12,13,South,1,1,Not Available,,8,o30ws9C6F7,Platform A,2024,11,29,Friday,225,Real Listing
TRAIN_0080,On-site Confirmation,69500000,680000,17.5,2,6,West,1,1,Available,5,0,J52gJ2E4T6,Platform C,2024,12,5,Thursday,219,Real Listing
TRAIN_0081,On-site Confirmation,90500000,260000,17.5,11,18,South,2,2,Available,14,0,G52Iz8V2B9,I플랫폼,2025,1,29,Wednesday,164,Real Listing
TRAIN_0082,On-site Confirmation,89000000,390000,29.92,4,7,북서향,2,1,Available,,11,C41wx1K6U9,Platform B,2024,10,26,Saturday,259,Real Listing
TRAIN_0083,On-site Confirmation,33000000,370000,40.89,,6,Southeast,1,1,Available,11,3,C10hv5Y7M9,Platform C,2024,10,1,Tuesday,284,Real Listing
TRAIN_0084,On-site Confirmation,392000000,150000,17.5,12,14,East,1,1,Available,104,10,z40LO7P9C9,F플랫폼,2024,10,30,Wednesday,255,Real Listing
TRAIN_0085,On-site Confirmation,24500000,450000,,3,4,Southeast,2,1,Not Available,,0,D47oH9N4M3,Platform A,2024,12,24,Tuesday,200,Real Listing
TRAIN_0086,서류확인,80500000,430000,17.5,12,14,West,1,1,Available,104,7,W88DA3W2Q3,Platform A,2024,10,8,Tuesday,277,Real Listing
TRAIN_0087,On-site Confirmation,94000000,720000,21.16,9,15,East,1,1,Not Available,17,3,G52Iz8V2B9,Platform D,2024,12,15,Sunday,209,Real Listing
TRAIN_0088,On-site Confirmation,151000000,50000,,,,West,,,Not Available,,0,M02bn7Y4P0,Platform D,2025,1,16,Thursday,177,Real Listing
TRAIN_0089,On-site Confirmation,346000000,640000,30.55,3,6,South,2,2,Available,44,1,G52Iz8V2B9,Platform B,2024,12,31,Tuesday,193,Real Listing
TRAIN_0090,On-site Confirmation,131500000,240000,35.24,5,7,Southeast,1,1,Not Available,30,0,G52Iz8V2B9,Platform D,2023,10,13,Friday,638,Real Listing
TRAIN_0091,On-site Confirmation,145500000,570000,,2,3,South,2,1,Not Available,,3,Y04yg0T7Z5,Platform B,2024,8,26,Monday,320,Real Listing
TRAIN_0092,On-site Confirmation,32500000,310000,34.45,7,10,Southeast,1,1,Not Available,50,9,G52Iz8V2B9,Platform A,2024,9,2,Monday,313,Real Listing
TRAIN_0093,Phone Confirmation,403500000,540000,,4,5,East,2,1,Available,5,0,Y65Hw0Z3K0,Platform A,2024,5,1,Wednesday,437,Fake Listing
TRAIN_0094,On-site Confirmation,177500000,390000,,4,5,South,1,1,Available,1,14,K38kY2R6G0,Platform B,2024,8,31,Saturday,315,Real Listing
TRAIN_0095,On-site Confirmation,156500000,480000,17.57,1,3,Southeast,2,2,Not Available,41,14,G52Iz8V2B9,Platform A,2024,8,2,Friday,344,Real Listing
TRAIN_0096,On-site Confirmation,324000000,570000,,3,5,북동향,2,1,Not Available,2,0,A18IU3D9M4,Platform B,2024,9,27,Friday,288,Real Listing
TRAIN_0097,On-site Confirmation,126500000,30000,31.13,6,8,East,1,1,Available,16,5,G52Iz8V2B9,Platform D,2024,1,14,Sunday,545,Real Listing
TRAIN_0098,서류확인,167500000,200000,32.78,3,3,Southeast,1,1,Available,41,0,G52Iz8V2B9,Platform A,2024,10,31,Thursday,254,Real Listing
TRAIN_0099,On-site Confirmation,195500000,100000,38.96,3,14,South,1,1,Available,33,10,G52Iz8V2B9,Platform A,2024,3,9,Saturday,490,Real Listing
TRAIN_0100,서류확인,22000000,120000,29.98,7,8,South,2,1,Available,6,0,u92NN7A1E5,Platform A,2024,10,23,Wednesday,262,Real Listing
TRAIN_0101,On-site Confirmation,22000000,480000,48.07,3,5,Southeast,2,1,Available,4,0,D26uW0Q2N3,Platform A,2024,10,20,Sunday,265,Real Listing
TRAIN_0102,On-site Confirmation,392000000,150000,17.5,,16,South,1,1,Available,34,10,X71Iq5L2C6,Platform A,2024,9,1,Sunday,314,Real Listing
TRAIN_0103,On-site Confirmation,338000000,240000,21.88,6,6,North,1,1,Available,32,0,G52Iz8V2B9,F플랫폼,2024,2,25,Sunday,503,Real Listing
TRAIN_0104,On-site Confirmation,104500000,140000,28.16,1,12,North,1,1,Available,41,9,G52Iz8V2B9,Platform A,2025,2,27,Thursday,135,Real Listing
TRAIN_0105,서류확인,393000000,630000,21.88,4,6,West,1,1,Available,8,10,r82ax9M3U3,Platform B,2024,11,11,Monday,243,Real Listing
TRAIN_0106,On-site Confirmation,12500000,470000,,,7,East,2,1,Available,5,14,f41Wq8P7T9,Platform A,2024,3,30,Saturday,469,Fake Listing
TRAIN_0107,On-site Confirmation,73500000,180000,35.03,3,8,South,1,1,Available,50,5,G52Iz8V2B9,Platform A,2024,4,15,Monday,453,Real Listing
TRAIN_0108,Phone Confirmation,138000000,540000,20.21,8,9,East,1,1,Not Available,23,6,G52Iz8V2B9,Platform B,2023,8,25,Friday,687,Real Listing
TRAIN_0109,On-site Confirmation,75500000,480000,17.5,2,3,South,2,1,Available,27,0,G52Iz8V2B9,Platform A,2023,12,23,Saturday,567,Real Listing
TRAIN_0110,On-site Confirmation,83000000,620000,,3,4,North,2,1,Available,3,0,I81Xq1F6S7,L플랫폼,2024,10,11,Friday,274,Real Listing
TRAIN_0111,On-site Confirmation,22000000,390000,19.83,2,7,Southeast,1,1,Not Available,,4,B44YF9W3O5,Platform A,2024,8,21,Wednesday,325,Real Listing
TRAIN_0112,On-site Confirmation,374000000,50000,,5,11,East,1,1,Available,1,13,i07Ja2R7A8,Platform A,2024,12,6,Friday,218,Real Listing
TRAIN_0113,Phone Confirmation,390500000,290000,,3,4,South,1,1,Available,1,0,b87Td0W4Y3,Platform C,2024,10,22,Tuesday,263,Real Listing
TRAIN_0114,On-site Confirmation,87000000,360000,27.25,8,11,East,1,1,Available,26,5,G52Iz8V2B9,Platform B,2024,4,28,Sunday,440,Real Listing
TRAIN_0115,서류확인,164500000,110000,31.86,4,6,East,2,1,Available,4,9,S30er7F3P4,Platform E,2024,12,13,Friday,211,Real Listing
TRAIN_0116,서류확인,70500000,560000,18.9,2,8,Southeast,1,1,Available,4,9,z54Fl0B2P9,Platform A,2024,12,21,Saturday,203,Real Listing
TRAIN_0117,On-site Confirmation,12000000,260000,18.54,14,21,North,1,1,Available,109,10,Z18up3D1C3,Platform A,2024,5,19,Sunday,419,Fake Listing
TRAIN_0118,On-site Confirmation,11000000,740000,25.49,,7,South,1,1,Available,1,1,s37cv8A6L4,Platform A,2024,4,19,Friday,449,Fake Listing
TRAIN_0119,On-site Confirmation,17000000,680000,22.17,6,6,West,1,1,Available,27,5,G52Iz8V2B9,Platform B,2024,9,25,Wednesday,290,Real Listing
TRAIN_0120,On-site Confirmation,5500000,380000,26.44,4,6,Southeast,1,1,Available,3,1,K25cF2K7X6,Platform B,2025,1,26,Sunday,167,Real Listing
TRAIN_0121,On-site Confirmation,100500000,720000,,3,4,남서향,2,1,Not Available,,0,U93ap2F8Z1,Platform C,2024,11,24,Sunday,230,Real Listing
TRAIN_0122,On-site Confirmation,30000000,720000,19.8,5,8,West,1,1,Not Available,5,1,S12iP7V0Q9,Platform A,2024,12,24,Tuesday,200,Real Listing
TRAIN_0123,Phone Confirmation,156000000,140000,,2,3,South,1,1,Not Available,,0,w14tG2G0E3,Platform D,2024,8,20,Tuesday,326,Real Listing
TRAIN_0124,서류확인,153500000,290000,18.88,4,19,East,1,1,Available,25,0,G52Iz8V2B9,Platform A,2024,3,6,Wednesday,493,Real Listing
TRAIN_0125,On-site Confirmation,387000000,160000,,,4,East,2,1,Not Available,,0,M92wE9E7E5,Platform D,2024,12,11,Wednesday,213,Real Listing
TRAIN_0126,On-site Confirmation,142500000,450000,34.54,2,2,South,1,1,Not Available,21,1,G52Iz8V2B9,Platform D,2024,6,11,Tuesday,396,Real Listing
TRAIN_0127,Phone Confirmation,170000000,450000,,3,5,Southeast,2,1,Available,4,8,y20fU5B1A8,F플랫폼,2024,10,12,Saturday,273,Real Listing
TRAIN_0128,서류확인,69500000,200000,,3,5,East,2,1,Available,1,4,X95Bu4S5H2,Platform D,2024,7,17,Wednesday,360,Fake Listing
TRAIN_0129,On-site Confirmation,366500000,410000,26.25,3,7,북동향,1,1,Available,4,5,J52gJ2E4T6,Platform C,2024,9,11,Wednesday,304,Real Listing
TRAIN_0130,On-site Confirmation,19000000,450000,,2,4,South,2,1,Not Available,,3,H58ZK7F1X4,J플랫폼,2024,7,29,Monday,348,Real Listing
TRAIN_0131,On-site Confirmation,144500000,140000,,,3,East,2,1,Not Available,,0,S14na8Q8K2,Platform A,2025,2,1,Saturday,161,Real Listing
TRAIN_0132,On-site Confirmation,188000000,310000,24.29,4,11,West,1,1,Available,34,8,G52Iz8V2B9,Platform A,2024,2,8,Thursday,520,Real Listing
TRAIN_0133,서류확인,25500000,740000,40.12,,6,East,1,1,Available,2,10,O18HJ6L0R2,Platform A,2025,1,1,Wednesday,192,Real Listing
TRAIN_0134,Phone Confirmation,402000000,150000,43.03,5,10,West,2,1,Available,19,0,c25Ms9V8I4,Platform C,2024,11,28,Thursday,226,Real Listing
TRAIN_0135,On-site Confirmation,406500000,590000,32.34,4,6,West,2,1,Available,1,6,j90UQ8N6M3,Platform A,2024,3,21,Thursday,478,Fake Listing
TRAIN_0136,On-site Confirmation,135000000,70000,,4,6,West,1,1,Not Available,,19,H90uE4C0W5,Platform A,2024,4,19,Friday,449,Fake Listing
TRAIN_0137,On-site Confirmation,76000000,550000,19.83,2,5,East,1,1,Not Available,,5,K95Xf2B9C6,Platform A,2024,9,6,Friday,309,Real Listing
TRAIN_0138,On-site Confirmation,363500000,470000,33.8,3,7,South,2,1,Available,,10,D24eh4J3C3,H플랫폼,2024,11,24,Sunday,230,Real Listing
TRAIN_0139,On-site Confirmation,107000000,460000,,2,6,West,1,1,Available,,0,m69GM9O9B3,Platform B,2024,8,19,Monday,327,Real Listing
TRAIN_0140,On-site Confirmation,96000000,390000,,2,3,북서향,2,1,Not Available,1,0,Q27Pd1N0R1,Platform E,2024,11,17,Sunday,237,Real Listing
TRAIN_0141,On-site Confirmation,89000000,400000,17.5,4,5,West,1,1,Not Available,2,10,T86RB7R1M3,Platform A,2024,12,11,Wednesday,213,Real Listing
TRAIN_0142,서류확인,106000000,450000,17.5,9,21,Southeast,1,1,Available,238,14,n74bA7B3O7,G플랫폼,2024,11,28,Thursday,226,Real Listing
TRAIN_0143,On-site Confirmation,28000000,470000,,,6,북동향,2,1,Available,4,3,A24sf9I9O0,Platform E,2024,10,19,Saturday,266,Real Listing
TRAIN_0144,On-site Confirmation,14000000,250000,,2,3,South,2,1,Not Available,,0,r14OE6C3A5,Platform D,2024,12,8,Sunday,216,Real Listing
TRAIN_0145,On-site Confirmation,8000000,50000,29.96,9,9,East,2,1,Available,1,10,w37Qk3B9D2,Platform B,2024,10,17,Thursday,268,Real Listing
TRAIN_0146,On-site Confirmation,193500000,380000,27.35,1,2,East,1,1,Not Available,17,9,G52Iz8V2B9,Platform B,2024,11,17,Sunday,237,Real Listing
TRAIN_0147,On-site Confirmation,154500000,80000,17.5,7,7,South,1,1,Available,4,5,n74bA7B3O7,G플랫폼,2024,8,9,Friday,337,Fake Listing
TRAIN_0148,서류확인,69000000,390000,28.6,2,3,북서향,2,1,Not Available,,0,Y65Hw0Z3K0,Platform A,2024,10,2,Wednesday,283,Real Listing
TRAIN_0149,On-site Confirmation,327500000,390000,39.15,10,16,West,2,2,Available,1,0,G52Iz8V2B9,Platform A,2023,10,21,Saturday,630,Real Listing
TRAIN_0150,On-site Confirmation,30000000,320000,29.04,4,4,East,1,1,Not Available,6,2,G52Iz8V2B9,Platform A,2023,12,21,Thursday,569,Real Listing
TRAIN_0151,On-site Confirmation,149000000,290000,30.49,10,19,East,2,1,Not Available,4,7,G52Iz8V2B9,Platform B,2023,11,2,Thursday,618,Real Listing
TRAIN_0152,On-site Confirmation,7500000,170000,30.17,3,4,East,1,1,Available,43,10,G52Iz8V2B9,Platform B,2024,11,28,Thursday,226,Real Listing
TRAIN_0153,On-site Confirmation,167000000,380000,,,,East,,,Available,1,0,c14YI4Z7E6,Platform D,2024,8,29,Thursday,317,Real Listing
TRAIN_0154,On-site Confirmation,10500000,540000,19.83,,3,South,1,1,Not Available,,0,j79Xs5I3K0,Platform A,2024,11,6,Wednesday,248,Real Listing
TRAIN_0155,On-site Confirmation,193000000,450000,17.5,4,4,East,1,1,Not Available,1,2,a15xR3G4V0,Platform A,2024,12,24,Tuesday,200,Real Listing
TRAIN_0156,On-site Confirmation,8000000,190000,28.09,2,3,North,2,1,Not Available,,16,a15xR3G4V0,Platform A,2023,7,7,Friday,736,Fake Listing
TRAIN_0157,서류확인,18500000,380000,17.5,5,6,Southeast,2,1,Available,,9,d22DX4Y4P8,Platform B,2024,12,17,Tuesday,207,Real Listing
TRAIN_0158,On-site Confirmation,148000000,380000,31.68,2,2,North,2,1,Available,1,3,G52Iz8V2B9,Platform B,2024,1,9,Tuesday,550,Real Listing
TRAIN_0159,서류확인,22000000,350000,17.5,12,15,북동향,1,1,Not Available,9,6,G52Iz8V2B9,Platform C,2024,4,24,Wednesday,444,Real Listing
TRAIN_0160,Phone Confirmation,11000000,610000,,5,5,남서향,2,1,Available,6,0,D25dP0R4Q9,Platform D,2024,9,22,Sunday,293,Fake Listing
TRAIN_0161,서류확인,153000000,140000,30.94,7,20,Southeast,2,2,Not Available,16,0,G52Iz8V2B9,Platform C,2023,10,10,Tuesday,641,Real Listing
TRAIN_0162,On-site Confirmation,156500000,250000,,3,4,East,2,1,Available,,3,d22DX4Y4P8,Platform B,2024,12,7,Saturday,217,Real Listing
TRAIN_0163,On-site Confirmation,128000000,360000,,2,5,북동향,1,,Available,1,0,l96pE8X9A9,Platform D,2024,9,30,Monday,285,Real Listing
TRAIN_0164,On-site Confirmation,26000000,330000,25.77,5,8,East,1,1,Available,6,0,S69fV9Z3J7,Platform C,2024,6,1,Saturday,406,Fake Listing
TRAIN_0165,서류확인,406000000,320000,20.47,5,10,North,1,1,Available,22,0,G52Iz8V2B9,Platform A,2024,2,27,Tuesday,501,Real Listing
TRAIN_0166,On-site Confirmation,150000000,750000,44.76,5,6,Southeast,2,1,Not Available,4,17,n74bA7B3O7,G플랫폼,2024,5,1,Wednesday,437,Fake Listing
